beta_Tax.ID,beta_Tax.post.mean,beta_Tax.post.sd,b_Smell.ID,b_Smell.post.mean,b_Smell.post.sd,b_Sound.ID,b_Sound.post.mean,b_Sound.post.sd,b_Colour.ID,b_Colour.post.mean,b_Colour.post.sd,b_Deadwood.ID,b_Deadwood.post.mean,b_Deadwood.post.sd,b_Smell2.ID,b_Smell2.post.mean,b_Smell2.post.sd,b_Sound2.ID,b_Sound2.post.mean,b_Sound2.post.sd,b_Colour2.ID,b_Colour2.post.mean,b_Colour2.post.sd,b_Deadwood2.ID,b_Deadwood2.post.mean,b_Deadwood2.post.sd
1,-0.0927600764088883,0.054334916303545,1,-0.44080774169198,1.11600258010162,1,-1.58182948121046,0.592222704666337,1,3.83914528978562,0.391665881203419,1,1.75400972357578,1.67638556909402,1,3.66984453170314,1.1736053664298,1,2.80962876120082,4.10332186570036,1,3.30009094304583,6.15217251975966,1,-3.35144779390623,3.87593433756787
2,-0.014418738334978,0.0161850685465255,2,-0.394933315537263,1.06061985439531,2,-1.57308809105206,0.58492616530053,2,3.85003407933858,0.419086630786568,2,1.57400858649781,1.51672626014739,2,3.48505797256423,1.10352348034041,2,2.26833160176138,4.62941624574635,2,7.07399150466126,5.66647798455411,2,-4.81050052999671,4.36791048197886
3,-0.00295633571471299,0.00436535829171345,3,-0.458416460753812,1.08410212128969,3,-1.51722286732968,0.604419136247492,3,3.88449681357629,0.431105297675638,3,1.44296934006834,1.46530220951082,3,3.46048091149115,1.12259202760757,3,2.49790133728708,4.6918588207797,3,6.59875506908506,5.94185502532386,3,-4.47483128383525,3.979579293117
4,-0.2702841140416,0.0911557544707254,4,-0.271915286973763,1.15413371993816,4,-1.43866084155256,0.594858245621091,4,3.83424594563748,0.389889466976824,4,1.50529605860306,1.46172024982646,4,3.83459928154925,0.99345567465847,4,1.86117009837599,4.29918090560495,4,9.50737632608832,4.53573170691196,4,-2.20707683687348,3.52458556399773
5,-20.7640990300902,89.6772851217504,5,-0.643412557115515,1.02253441824674,5,-1.55066991471325,0.596701200405565,5,3.91102083096635,0.374848974317707,5,1.59758811798915,1.41937904203217,5,3.71471463685845,1.11705411953561,5,3.66725508001425,4.36655104323019,5,8.07245790148949,4.40016862065296,5,-3.89998646482937,3.80536326202682
6,-0.0045401293508965,0.00627435287491122,6,-0.373567972975518,1.07965793282648,6,-1.56855254452652,0.581821631474976,6,3.85337169637792,0.427197173213195,6,1.60357523969857,1.58138373159837,6,3.51564619214678,1.10113304201539,6,3.06266866531004,4.67317255235147,6,7.39884179212817,5.55125716941681,6,-4.89555425686375,4.06358896855771
8,-0.0339646095500239,0.0295792071274997,8,-0.42925906848175,1.13867114231894,8,-1.57600872787995,0.575122351003702,8,3.86947184888559,0.419924332720701,8,1.53174999002525,1.54218882228819,8,3.4221081398171,1.11249830046452,8,2.94091519367424,4.45261895183602,8,6.90991596613576,5.97401796707649,8,-5.54736807704831,4.56973065545503
9,-11.8482692867097,27.5823879023689,9,-0.400591246423692,1.16267415649022,9,-1.49355137285627,0.546720837430342,9,3.87870515794507,0.450759775481848,9,1.55474308726653,1.64459872708394,9,3.70605415500572,1.16194774100574,9,3.7253643639559,3.97710345472335,9,7.43510612425757,5.29914420461167,9,-4.19672161183614,3.67492548551382
10,-0.0177613940279895,0.0228871090184719,10,-0.453015459974642,1.11448075246151,10,-1.57033087445778,0.57691898342738,10,3.91664098231149,0.440252321324506,10,1.40371453910467,1.46120942581018,10,3.57272096993599,1.05463861526305,10,1.62564839388224,4.85238359215759,10,6.05805602983924,6.08137684484252,10,-4.05739898602976,4.20489371979668
11,-0.0109399747984083,0.0141685761770589,11,-0.354881130530244,1.06824781994851,11,-1.56648653973322,0.595810328077079,11,3.87069997440977,0.423872081846255,11,1.5994045122225,1.49567964957631,11,3.43003433097112,1.11181864406066,11,3.11036079535884,4.4744313150012,11,6.10100167641958,5.72448592361462,11,-5.51565775973976,4.27630089262323
12,-0.117230525091175,0.0587402402681518,12,-0.410367508508027,1.09236948160873,12,-1.55271839303184,0.537203643076458,12,3.86068471396548,0.400288100537735,12,1.30908795895801,1.65402027372937,12,3.43645948566919,1.02145882450713,12,4.32672616347821,4.22687375216252,12,8.67250138435483,5.16117669784397,12,-7.56631623980598,3.94540472327595
13,-0.0274346004865198,0.0270159381483682,13,-0.482538230404006,1.09992148045683,13,-1.56210904216776,0.564163036331948,13,3.86152140252658,0.424390938172584,13,1.49732691951659,1.53516017206121,13,3.39245874879149,1.09580756326789,13,1.98947647997664,4.79389381131568,13,5.7957573010748,5.56448621088682,13,-5.30895232565291,4.01241040560526
14,-0.0108279703981402,0.0128250206301713,14,-0.475879968043573,1.06992410808205,14,-1.5614493427538,0.578989154170732,14,3.84818976311978,0.413888009289633,14,1.59285095133234,1.51265003949718,14,3.53518245141041,1.03977322933907,14,3.0357879422995,4.49896858183973,14,7.68162874262299,5.75656056891947,14,-4.4059724992591,3.92362755605502
