beta_Tax.ID,beta_Tax.post.mean,beta_Tax.post.sd,b_Smell.ID,b_Smell.post.mean,b_Smell.post.sd,b_Sound.ID,b_Sound.post.mean,b_Sound.post.sd,b_Colour.ID,b_Colour.post.mean,b_Colour.post.sd,b_Deadwood.ID,b_Deadwood.post.mean,b_Deadwood.post.sd,b_Smell2.ID,b_Smell2.post.mean,b_Smell2.post.sd,b_Sound2.ID,b_Sound2.post.mean,b_Sound2.post.sd,b_Colour2.ID,b_Colour2.post.mean,b_Colour2.post.sd,b_Deadwood2.ID,b_Deadwood2.post.mean,b_Deadwood2.post.sd
1,-0.120910052593736,0.0653545795399951,1,0.187972017089333,0.302918947106891,1,0.195178761603097,0.0613388854943139,1,0.164014593384303,0.284607715421979,1,-0.206357503863775,0.508666162400095,1,-0.130507386748516,0.439816487273792,1,0.0288265263279321,0.802654457082742,1,0.609292574755709,0.785999526804127,1,0.288551503135001,0.578010806804674
2,-0.0276274761395477,0.0234962103113453,2,0.140814835766214,0.255870920162972,2,0.205586392391697,0.0677147653516307,2,0.306471192273038,0.311415293560601,2,0.106879750731114,0.513703149881301,2,0.256669347232418,0.47539304818343,2,1.08479720886709,0.791499933742021,2,-0.37839947714968,0.651256505561449,2,0.756275225524166,0.579747801617752
3,-0.00407271640075204,0.00590758847551649,3,0.250761505111093,0.266436329350774,3,0.207533677205973,0.0690554999055215,3,0.206836740251589,0.367763314552304,3,0.532297477167591,0.506638915779393,3,0.0238950192482995,0.431877709267018,3,-0.0342841978895089,0.748465308674889,3,0.220273162396637,0.623813424099162,3,0.420674844811307,0.516538074278358
4,-0.553970955941006,0.263998296928164,4,0.110596250064583,0.285103303181365,4,0.205350805684515,0.063706630435495,4,0.218402954917653,0.287514895976159,4,0.33123814641568,0.523094116640849,4,0.134591554081045,0.464347666657978,4,0.0796602401620292,0.919932248957218,4,-0.15507021015353,0.780793785592822,4,0.599562615440063,0.656772880429295
5,-25.1903941841044,83.2205767938794,5,0.215576533685852,0.2537895540176,5,0.194734404298635,0.0677212652197097,5,0.158546408953029,0.30515224309671,5,0.224339352346962,0.509751911398721,5,0.186120748207933,0.509525471774663,5,0.236469585698025,1.18351316210844,5,0.0568351314476888,0.736780729514043,5,0.679837406204448,0.62368372329901
6,-0.00613759517355854,0.00845251710997021,6,0.10314921270901,0.257289832100154,6,0.195379654467358,0.0676886765923438,6,0.356904638603659,0.352354406943542,6,0.208541231112583,0.520852358102545,6,-0.140225954748845,0.429187307594696,6,-0.655837767024004,0.864281546888501,6,0.074009344780872,0.716603735454178,6,1.21991537861566,0.553537371701026
8,-0.0508605613137074,0.030902869361888,8,0.147456416308387,0.264563456518908,8,0.196633551927119,0.0643256634874512,8,0.269021577724207,0.328050730891997,8,0.194917526294221,0.52284696993235,8,0.156542983448517,0.442882110648317,8,0.0513258866281261,0.727488970741185,8,-0.167441893778333,0.670949529681085,8,1.1597771430501,0.650174010253517
9,-14.5557044202216,25.4144748707469,9,0.176618097439994,0.274068745562755,9,0.202389517172927,0.0607575014129901,9,0.173671095460707,0.36133152690691,9,0.284412877290175,0.561236359465892,9,0.163885609267576,0.52971279241455,9,0.298040239434138,1.09786699973337,9,0.0925827459081145,0.785392676598701,9,0.752549484948584,0.648235203801693
10,-0.0471701790948821,0.0410934265255324,10,0.050105962102419,0.24383338624775,10,0.195880977301124,0.0564663237275903,10,-0.00847571411332769,0.336967889228963,10,0.307453357605143,0.490632780148479,10,0.399655899165925,0.423622514790011,10,2.13215503040056,0.889842634295112,10,0.548031819151117,0.713438270909134,10,0.439404033690591,0.620906395188486
11,-0.0206530479267875,0.0183388906277017,11,0.0925241318987723,0.261705284364427,11,0.195090302475741,0.0746537761125489,11,0.12390929757262,0.33392716643934,11,0.0754026369742065,0.513283775698,11,0.200571150998039,0.430557044675321,11,-0.256095930740895,0.830062972055537,11,0.495416622447854,0.637324043721787,11,1.35738845776628,0.535367052743148
