"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_A",0,NA,NA,NA,NA,NA,NA
"asc_B",0,NA,NA,NA,NA,NA,NA
"asc_C",-1.44992912591584,0.0561071188665732,-25.8421596974864,0,0.0705163121632872,-20.5616130712904,0
"mu_Tax",-3.28734986987277,0.0907662535997216,-36.2177542809022,0,0.0856547988953226,-38.3790507043299,0
"mu_Sound",0.202428733856509,0.0550822997143475,3.67502328164018,0.000118913863168313,0.0530420764644534,3.81638026543264,0.00013542374473241
"mu_Smell",0.170254310307758,0.0591525280098482,2.87822542900301,0.00199959623068768,0.0598105633241533,2.8465592170573,0.00441945086728124
"mu_Colour",0.19657587719535,0.0614991346838609,3.19640070069046,0.000695768573727995,0.0578958608789395,3.39533559413497,0.000685445264175799
"mu_Deadwood",0.252144028845006,0.0525122950287055,4.80161891052702,7.86940018482341e-07,0.0539866682537954,4.67048693687964,3.00486592630378e-06
"sig_Tax",-2.80185446750666,0.0953984846450708,-29.3700102043647,0,0.103756672361157,-27.0040895081325,0
"sig_Sound",-0.0669368315387755,0.342535703879743,-0.19541563340876,0.422533789422174,0.351592381984747,-0.190381916584528,0.849009866999095
"sig_Smell",-0.265213017457447,0.18436459153222,-1.43852469312741,0.0751426181566359,0.180890566985238,-1.4661517285149,0.142606955881982
"sig_Colour",0.339167131461065,0.134729968600623,2.51738447639998,0.00591148671358099,0.135643426884018,2.50043175148525,0.0124042030781375
"sig_Deadwood",0.553439597089143,0.0983602043142877,5.62666172714274,9.18652631742845e-09,0.122568833989801,4.51533704836577,6.32161406799447e-06
"mu_Sound2",0.392875580807519,0.0449814069737355,8.73417723542791,0,0.0465746075514005,8.43540292580964,0
"mu_Smell2",0.157459092750618,0.0379906805428394,4.14467681285841,1.70146651609082e-05,0.0365555387998415,4.30739356935153,1.65189535201726e-05
"mu_Colour2",0.0970985365265666,0.0430096648022039,2.25759807645818,0.011985364346213,0.0430972236740157,2.25301140651224,0.0242584297736266
"mu_Deadwood2",0.731677623066045,0.045466196922789,16.092782607452,0,0.0487124435962767,15.0203432439175,0
"sig_Sound2",-1.13117405204372,0.0533955055881485,-21.1848177029864,0,0.0558798942814086,-20.2429526145339,0
"sig_Smell2",0.493878446600502,0.0660867777017204,7.47318092629057,3.9190872769268e-14,0.0703658159899975,7.01872691522126,2.23909779606402e-12
"sig_Colour2",-0.841709038698562,0.0573719908371949,-14.6710795009204,0,0.0602046547502073,-13.9807967040233,0
"sig_Deadwood2",-0.68119136572359,0.0640138016927201,-10.6413202732975,0,0.0659396705630775,-10.3305242490098,0
