"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_A",0,NA,NA,NA,NA,NA,NA
"asc_B",0,NA,NA,NA,NA,NA,NA
"asc_C",-2.05737922827242,0.041961655925326,-49.0299818466099,0,0.05925012241044,-34.7236283162498,0
"mu_Tax",-3.9038191044009,0.100386235646428,-38.8879917576609,0,0.10000078122221,-39.0378860713727,0
"mu_Sound",-1.54924119882588,0.481716153850144,-3.21608728800867,0.000649756498046439,0.502361403235186,-3.08391765141356,0.00204294134950889
"mu_Smell",-0.460438703620055,0.570026863602945,-0.807749130821273,0.209617507127698,0.574219241450286,-0.801851749964249,0.422638719418803
"mu_Colour",3.85446656923091,0.614143273601974,6.27616833874009,1.73509207002098e-10,0.921667219482318,4.18205886870522,2.8888114331993e-05
"mu_Deadwood",1.5103881203174,0.406124495165094,3.71902738765711,9.99956844732752e-05,0.503230376703228,3.0013850320648,0.00268754503259894
"sig_Tax",-3.07741055685361,0.119604744127102,-25.7298368832535,0,0.136536709158587,-22.5390708170593,0
"sig_Sound",-0.583329124916754,0.448024533140627,-1.30200263996181,0.096457741571869,0.20484028244076,-2.84772661883755,0.00440327317115941
"sig_Smell",1.0689927887493,0.427588962912357,2.50004766603017,0.00620882987105587,0.28672148052981,3.72833171331981,0.000192751558290238
"sig_Colour",-0.421646285659596,0.472969290221082,-0.89148765972206,0.186333804458979,0.230587609828807,-1.82857303552708,0.0674635952110614
"sig_Deadwood",-1.53039345631223,0.219395291334213,-6.97550730011304,1.52389212360049e-12,0.242172469619832,-6.31943613869355,2.62519339599976e-10
"mu_Sound2",2.74146041309967,0.550103660546199,4.98353421312933,3.12166341442932e-07,0.647942609523495,4.23102350857242,2.32630354812802e-05
"mu_Smell2",3.4731369050954,0.470771863300298,7.37753713815293,8.06021915877864e-14,0.748439138521297,4.64050679118322,3.47555753132944e-06
"mu_Colour2",7.03212837186121,0.728225016378054,9.65653227190223,0,1.24910580772828,5.62972994629687,1.80491996903953e-08
"mu_Deadwood2",-4.5592849751868,0.604746582643923,-7.53916616651858,2.36477504245158e-14,0.579696778689572,-7.86494792241772,3.77475828372553e-15
"sig_Sound2",4.57312754903478,0.432730074199743,10.5680834813526,0,0.685008162695336,6.67601905799292,2.45519160557706e-11
"sig_Smell2",1.10235348434368,0.257302786584306,4.28426562719129,9.16718819909956e-06,0.207525677136928,5.31188959145683,1.08494331740872e-07
"sig_Colour2",5.83025079427373,0.436825532810647,13.3468635790596,0,0.76127661310686,7.65851819679549,1.88737914186277e-14
"sig_Deadwood2",4.24798032842558,0.55670817614589,7.63053339333813,1.16573417585641e-14,0.450987348389696,9.4192893516714,0
