beta_Tax.ID,beta_Tax.post.mean,beta_Tax.post.sd,b_Smell.ID,b_Smell.post.mean,b_Smell.post.sd,b_Sound.ID,b_Sound.post.mean,b_Sound.post.sd,b_Colour.ID,b_Colour.post.mean,b_Colour.post.sd,b_Deadwood.ID,b_Deadwood.post.mean,b_Deadwood.post.sd,b_Smell2.ID,b_Smell2.post.mean,b_Smell2.post.sd,b_Sound2.ID,b_Sound2.post.mean,b_Sound2.post.sd,b_Colour2.ID,b_Colour2.post.mean,b_Colour2.post.sd,b_Deadwood2.ID,b_Deadwood2.post.mean,b_Deadwood2.post.sd
1,-0.064764606415442,0.0475854724035761,1,-0.775358482505653,0.617968898135224,1,-1.69752052922981,0.244999313318798,1,4.0137114325375,0.326850718020825,1,1.69419070775368,2.00468050005422,1,3.62944247378086,1.04145386633804,1,2.12556200385087,3.99415736053628,1,3.75336231627801,7.29013573780181,1,-4.57952856094511,3.2818958125939
2,-0.0173445983999713,0.0185049686632018,2,-0.74192554471808,0.578575856949789,2,-1.72688571136876,0.251303168480326,2,4.0288886100795,0.338799294908171,2,1.53405508273455,1.77010686411503,2,3.60095660114658,1.01820560934974,2,1.74842106816662,4.31659442940158,2,7.55171751183762,6.73854854727853,2,-5.12638492697618,3.37910188785664
3,-0.0029026999080191,0.00428169699471161,3,-0.770717393309041,0.593122608670708,3,-1.74809454251616,0.260007389618081,3,4.00298011633915,0.347934733042506,3,1.59310756495947,1.69942903062708,3,3.66752298997667,1.03028419590002,3,1.99728499037803,4.37280570670593,3,6.83396876890149,7.09193101530006,3,-4.9151207227399,3.08088524377254
4,-0.271840927093161,0.0940243118408371,4,-0.678717569401575,0.612672117344819,4,-1.76660536242394,0.231311148000599,4,3.98427234996142,0.338166765993438,4,1.07929132261499,1.61344912132423,4,3.51575429749657,0.957557017225826,4,1.61322360184814,3.87461528723659,4,10.9870592337412,5.12521586418388,4,-3.22394552400409,2.83292237435166
5,-10.7716510232385,27.5313466418798,5,-0.862081367069592,0.568845200693398,5,-1.70328627918697,0.264647293764834,5,4.00671112406182,0.30611428275738,5,1.60132550579294,1.65459425813419,5,3.61330436107273,1.00058660644363,5,3.05731463545672,4.13116811316028,5,8.85694146986024,4.97451734827929,5,-4.59813281968451,3.02159935335994
6,-0.00405163676957367,0.0056296898601138,6,-0.724056550137808,0.592609349697525,6,-1.72596007656128,0.250334726345892,6,4.02885023152354,0.345090413549401,6,1.41048563548515,1.84199230338726,6,3.6318862225886,1.00542847762861,6,2.48717371771183,4.34014731147808,6,7.76013633425535,6.64771876737506,6,-5.1968861327544,3.13876130830365
8,-0.0373957099879773,0.0313424611540638,8,-0.753960444141414,0.623536870568386,8,-1.72174148554502,0.246315769546819,8,4.01186651892012,0.339380202172025,8,1.56914470068453,1.78872426141576,8,3.69016892333126,1.02256202519056,8,2.43520507715013,4.14524562941194,8,7.34392047586584,7.08366549570318,8,-5.63661533894908,3.50681642315628
9,-13.0015317686354,27.371888651967,9,-0.77030964704497,0.627474276253548,9,-1.73844062413536,0.23104872637928,9,4.03170021680548,0.35187315323584,9,1.74614077451867,1.81677994731264,9,3.70984186114971,1.08065969052352,9,3.03509195638234,3.82029104095653,9,8.24609527583123,5.87700918999264,9,-4.84240703542028,3.05230730371856
10,-0.0200597578381451,0.0253967685330785,10,-0.7734245975512,0.606141195919076,10,-1.7274028008492,0.24954461864882,10,3.98264181598229,0.355928425525193,10,1.6826929494501,1.69870881899241,10,3.52368539401405,0.96534173698421,10,1.14762510430578,4.49730980648342,10,5.90539213397335,7.30952916993302,10,-4.58433843319629,3.2559749065042
11,-0.0114614262204017,0.0144723740691374,11,-0.717767704049769,0.585137766119153,11,-1.72846455824103,0.255353366958039,11,4.01793816309209,0.341787169360701,11,1.46508576245135,1.731835305873,11,3.68493051963297,1.01782704257717,11,2.58347437649016,4.16749258303099,11,6.14273289535555,6.82479883820802,11,-5.61710015583456,3.30136234219458
