"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_A",0,NA,NA,NA,NA,NA,NA
"asc_B",0,NA,NA,NA,NA,NA,NA
"asc_C",-0.861472511911042,0.15629211805064,-5.51193830281266,1.77451668914586e-08,0.234646343414957,-3.671365593742,0.000241257943004225
"mu_Tax",-3.89083488127093,0.100341696504481,-38.7758530781586,0,0.103360215176183,-37.6434479614695,0
"mu_Sound",-1.73341557744266,0.494309928442094,-3.50673833905345,0.000226817491541631,0.66715312629419,-2.59822746701525,0.00937063967229301
"mu_Smell",-0.772731567654284,0.567089994222943,-1.36262599503827,0.0865002059706377,0.651079558079878,-1.18684661200726,0.235288129124843
"mu_Colour",4.0274501044051,0.670948040971689,6.00262592401703,9.70757918494769e-10,1.09624593862032,3.67385635149887,0.000238917082823198
"mu_Deadwood",1.53686922348013,0.507148770739007,3.03041101971052,0.0012211056823187,0.955623223600241,1.60823762496069,0.107783145722808
"sig_Tax",-3.05125808172232,0.122972002168997,-24.8126242388821,0,0.180861352862458,-16.870702521189,0
"sig_Sound",0.250745492060455,0.964484757109635,0.259978698690779,0.397440102381698,2.12498494537654,0.117998714581963,0.906068676383063
"sig_Smell",0.58446837246485,0.744136527887934,0.785431638631869,0.216100268363634,1.05298893319669,0.555056519626003,0.578856001877904
"sig_Colour",0.340102557445711,0.651215438934974,0.522258130123465,0.300745308617721,0.514713238510444,0.660761239462097,0.50876544370822
"sig_Deadwood",1.77721519588115,0.867103851773158,2.04959900967674,0.0202017885762487,2.13917154288606,0.830796016238804,0.406088873549689
"mu_Sound2",2.22418429569178,1.10147045557719,2.01928638614848,0.0217287310194003,2.88264811535236,0.771576760911697,0.440365142597787
"mu_Smell2",3.64949959997906,0.490293372101931,7.44350180450806,4.90718576884319e-14,0.874838769432873,4.17162536400268,3.02434589074529e-05
"mu_Colour2",7.3710735455918,0.774867903047901,9.51268405440216,0,1.40445277690827,5.24835983579194,1.53459331242445e-07
"mu_Deadwood2",-4.98563905532892,0.607296439164027,-8.20956411697703,1.11022302462516e-16,0.78971732320436,-6.31319449230159,2.7333357799364e-10
"sig_Sound2",4.26121035725128,0.607178160321387,7.01805604304966,1.12487796855021e-12,1.46350794107624,2.91164143196767,0.00359535098813435
"sig_Smell2",-1.01090880112361,0.340494150736239,-2.96894615939145,0.00149411474652517,0.367306288851511,-2.7522229588949,0.0059192205952443
"sig_Colour2",6.9647317070245,0.551538671029579,12.6278211716744,0,0.984344486175996,7.07550233158846,1.48903112062726e-12
"sig_Deadwood2",3.29186098842693,0.348901382800733,9.43493247863394,0,0.301561324306992,10.9160582710394,0
"beta_Gender",0.0183577949379689,0.0767820056582383,0.239089807313456,0.40551797259911,0.114972822371746,0.159670733998439,0.873140455965945
"beta_Age",-0.72332397745262,0.0813834559482031,-8.8878503502356,0,0.116436874208775,-6.21215557672629,5.22626386612046e-10
"beta_Distance",-0.00355521739605342,0.00447582109325017,-0.794316243206172,0.213505675104063,0.00621015021109649,-0.572484927933119,0.566993493911677
"beta_Charity",-0.160521966222321,0.0869469703429743,-1.84620540070712,0.0324311935434498,0.123195273503683,-1.30298802589631,0.192578849575055
"beta_Income",-0.285100216597011,0.0750696122233449,-3.79781123350937,7.2989711839333e-05,0.10953754386493,-2.60276254640662,0.00924759785022222
"beta_Impairment",-0.269933649699301,0.097833993215254,-2.75909876340623,0.00289805074755933,0.138191168584985,-1.95333502468572,0.0507799098767494
"beta_Country",-0.0665811947651923,0.0455751029346303,-1.46091156087331,0.0720198567610031,0.0652843282045112,-1.01986489861117,0.307792538872372
"beta_White",-0.0123293511788849,0.0928384958207584,-0.132804297074017,0.447174077945834,0.137282101935721,-0.0898103321921585,0.928437937471465
"beta_Urbanicity",-0.169630076519217,0.0841061023563277,-2.01685813236898,0.0218551601689488,0.123052147859148,-1.37852186630163,0.168042221455371
"beta_MostRecentVisit",-0.130754748739681,0.0241775372550583,-5.40810866550624,3.1846888903786e-08,0.0365810121384716,-3.57438848998299,0.000351047381022207
"beta_WoodlandsScore",-0.00296968023849845,0.00191168008688148,-1.55343996041873,0.060159031229248,0.00285250205726368,-1.04107908737047,0.297838844439177
