Area..sq.km.,Area_ha_mean,Area_ha_median,Area_ha_stddev
93.7125,5.904815,1.474716,16.013095
204.9331,5.904815,1.474716,16.013095
93.7125,5.904815,1.474716,16.013095
204.9331,5.904815,1.474716,16.013095
53.8816,2.551461,1.215392,3.88521
245.0698,2.551461,1.215392,3.88521
53.8816,2.551461,1.215392,3.88521
245.0698,2.551461,1.215392,3.88521
53.8816,5.396461,1.550577,15.967625
245.0698,5.396461,1.550577,15.967625
93.7125,3.202198,1.345061,7.248229
204.9331,3.202198,1.345061,7.248229
93.7125,3.202198,1.345061,7.248229
204.9331,3.202198,1.345061,7.248229
93.7125,3.202198,1.345061,7.248229
204.9331,3.202198,1.345061,7.248229
197.4758,2.729036,1.292719,4.002136
197.4758,2.729036,1.292719,4.002136
79.0839,2.280792,1.059042,3.931303
79.0839,2.280792,1.059042,3.931303
180.6279,2.429579,1.134054,5.110316
180.6279,2.429579,1.134054,5.110316
180.6279,2.429579,1.134054,5.110316
180.6279,2.429579,1.134054,5.110316
180.6279,2.429579,1.134054,5.110316
,3.904878,1.32057,10.551046
34.8709,1.623814,1.009171,1.473257
34.8709,1.623814,1.009171,1.473257
34.8709,1.623814,1.009171,1.473257
71.5837,1.868882,1.247111,1.718052
71.5837,1.868882,1.247111,1.718052
71.5837,1.868882,1.247111,1.718052
71.5837,1.868882,1.247111,1.718052
2403.6043,2.712069,1.28074,5.188935
2403.6043,2.712069,1.28074,5.188935
192.6229,2.963815,1.206153,5.343602
846.5266,2.963815,1.206153,5.343602
192.6229,2.963815,1.206153,5.343602
846.5266,2.963815,1.206153,5.343602
192.6229,3.383848,1.265754,8.66213
846.5266,3.383848,1.265754,8.66213
192.6229,3.383848,1.265754,8.66213
846.5266,3.383848,1.265754,8.66213
192.6229,3.383848,1.265754,8.66213
846.5266,3.383848,1.265754,8.66213
271.937,2.513095,1.274322,4.855794
78.0311,1.968634,1.068975,3.090871
78.0311,1.968634,1.068975,3.090871
78.0311,1.968634,1.068975,3.090871
73.3421,1.594705,1.096234,1.706831
